gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
MIR3150BHG,16.832085526614545,-0.06823274640068493,0.14711335540331505,9.522803726990359e-4,0.08196114142948238
ZNF587B,809.5504974196623,-0.4787814868156219,0.2052012037874421,9.53821616132733e-4,0.08196114142948238
LOC101927551,34.28507644569786,-0.10873372067358002,0.20757132823150054,9.597973815425251e-4,0.08196114142948238
ADAMTS8,121.23814684937008,-0.05561074477467831,0.1362485324778094,9.620953958453899e-4,0.08196114142948238
MFAP2,124.27925472172619,0.7421276983498267,0.3394709179781086,9.711515789487037e-4,0.08233102512019497
NRGN,285.1214195777229,0.6912387622231505,0.3143134060616282,9.7935272842158e-4,0.08242754621245753
RPL5P34,3106.544739735508,0.7167553848754842,0.32702977073289013,9.819405974945742e-4,0.08242754621245753
HEATR1,2795.348870974722,-0.5729366190806312,0.25655925762787074,9.864496769585217e-4,0.08242754621245753
CCN2,411.1014796578327,0.6888950798319754,0.31451140345548095,9.980288950224125e-4,0.08299798391748292
LOC644169,75.27595348886545,-1.0501127038639722,0.5023864659586521,0.0010194530788352127,0.0843470180792103
LOC101929004,79.94170156352715,-0.844915507852632,0.3979725076943504,0.0010239102057256404,0.0843470180792103
LINC01981,23.366626751164535,-0.053083077192779445,0.13433430835298266,0.0010388930790320447,0.08463339363208304
CRABP2,285.4724722134686,0.7594985822827357,0.3540617963811721,0.0010412668029375273,0.08463339363208304
RPL17P6,7451.797772636681,0.8263252060736967,0.3887973021334984,0.001041925081934142,0.08463339363208304
BCYRN1,255.79920242653031,1.4659414603638854,0.7258415950026375,0.0010477556587521835,0.08471298529837099
APOBEC2,16.049747015448435,-1.5610970326086753,0.7479333543494712,0.001058856313875455,0.08521597541714722
TMPRSS9,304.43792511133773,-0.7836945546282423,0.3705796120538839,0.001067630744173254,0.08552799686349408
PRKCH-AS2,14.90310969245928,-0.04834718151707792,0.1311188817366767,0.0010791570154667853,0.08605661241147003
